X,Y,GOVERNMENT,TYPE,PEA,SECTION,BLOCK,STREET,SUBURB,STATE,POSTCODE,SCHOOLCODE,DATASET,OBJECTID,SCHOOL_NAME,BLOCK_KEY,EMAIL,DEEWR_SCHOOL_ID,DESCRIPTION,WEBSITE,PHONE,MY_SCHOOL_WEBSITE,LEVEL_,APPLY_NOW,STATUS,OBJECTID_1
688913.6502,6096759.17,No,Other,No,1,26,3 Bindel Street,Aranda,ACT,2614,,ACTmapi,126,St Vincent's Primary School,55560010026,admin@svdp.cg.catholic.edu.au,,,http://www.svdp.act.edu.au/,(02) 6251 2442,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,11
690220.1658,6087328.3282,No,Other,No,8,40,59 Wisdom Street,Garran,ACT,2605,,ACTmapi,127,Sts Peter & Paul Primary School,33300080040,office.stpandp@cg.catholic.edu.au,,,http://www.stpandp.act.edu.au/,(02) 6281 1932,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,12
688041.7068,6103026.1339,No,Other,No,32,4,"55 Crofts Crescent, 68 Baddeley Crescent",Spence,ACT,2615,,ACTmapi,128,Taqwa School,55760320004,info@taqwaschool.act.edu.au,,,https://taqwaschool.act.edu.au/,(02) 6181 6870,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,13
689463.5574,6079717.3496,No,Other,No,117,5,34 McBryde Crescent,Wanniassa,ACT,2903,,ACTmapi,129,Trinity Christian School,66021170005,enquiries@tcs.act.edu.au,,,https://www.tcs.act.edu.au/,(02) 6231 4177,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,14
688953.7795,6081252.9812,No,Other,No,201,7,161 Wheeler Crescent,Wanniassa,ACT,2903,,ACTmapi,107,St Anthony's Parish Primary School,66022010007,admin@stanthonys.cg.catholic.edu.au,,,http://www.stanthonys.act.edu.au/,(02) 6231 4022,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,15
693519.6231,6087301.5501,No,Other,No,8,69,55 Hicks Street,Red Hill,ACT,2603,,ACTmapi,108,St Bede's Primary School,12210080069,stbedes@stbedes.cg.catholic.edu.au,,,http://www.stbedes.act.edu.au/,(02) 6295 6559,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,16
695288.1478,6087734.5311,No,Other,No,88,21,10 Tallara Parkway,Narrabundah,ACT,2604,,ACTmapi,109,St Benedict's Primary School,12180880021,admin@stbenedicts.cg.catholic.edu.au,,,http://www.stbenedicts.act.edu.au/,(02) 6295 8027,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,17
690246.6316,6074015.0813,No,Other,No,212,12,40 Heidelberg street,Conder,ACT,2905,,ACTmapi,110,St Clare Of Assisi Primary School,66132120012,admin@sca.cg.catholic.edu.au,,,http://www.sca.act.edu.au/,(02) 6294 1860,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,18
695117.309,6088953.0942,No,Other,No,29,1,7 McMillan Crescent,Griffith,ACT,2603,,ACTmapi,111,St Clare's College,12200290001,the.principal@stclaresc.act.edu.au,,,https://stcc.act.edu.au/,(02) 6260 9400,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,19
695018.0023,6089046.3456,No,Other,No,30,1,110 Canberra Avenue,Griffith,ACT,2603,,ACTmapi,112,St Edmund's College Canberra,12200300001,reception@stedmunds.act.edu.au,,,https://sec.act.edu.au/,(02) 6295 3598,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,20
692270.2852,6075864.6993,No,Other,No,796,16,120 Casey Crescent,Calwell,ACT,2905,,ACTmapi,113,St Francis Of Assisi Primary School,66117960016,reception@stedmunds.act.edu.au,,,http://www.stfa.act.edu.au/,(02) 6292 4500,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,21
685638.4704,6100112.6106,No,Other,No,1,1,12 Barnard Circuit,Florey,ACT,2615,,ACTmapi,114,St Francis Xavier College,55600010001,school.office@sfx.cg.catholic.edu.au,,,https://sfx.act.edu.au/,(02) 6258 1055,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,22
685807.5584,6099970.9554,No,Other,No,101,1,38 Pawsey Circuit,Florey,ACT,2615,,ACTmapi,115,St John The Apostle Primary School,55601010001,office@sjaps.cg.catholic.edu.au,,,http://www.sjaps.act.edu.au/,(02) 6258 3592,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,23
686736.1264,6085996.6283,No,Other,No,44,4,91 Namatjira Drive,Waramanga,ACT,2611,,ACTmapi,116,St John Vianney's Primary School,44420440004,stjv@sjv.cg.catholic.edu.au,,,http://www.sjv.act.edu.au/,(02) 6288 2383,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,24
693412.9984,6096163.3348,No,Primary,No,78,1,62 Boronia Dr,O'Connor,ACT,2602,,ACTmapi,117,St Joseph's Catholic Primary School,11030780001,admin@sjo.cg.catholic.edu.au,,,http://www.sjo.act.edu.au/,(02) 6248 9818,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,25
686305.3974,6087968.2493,No,Other,No,45,14,49 Mulley Street,Holder,ACT,2611,,ACTmapi,118,St Jude's Primary School,44470450014,stju@stjudesps.cg.catholic.edu.au,,,http://www.stjudesps.act.edu.au/,(02) 6288 7688,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,26
690025.5745,6077813.3763,No,Other,No,877,16,"90 Ellerston Avenue, Drumston Street",Isabella Plains,ACT,2905,,ACTmapi,119,St Mary Mackillop College - Senior Campus,66128770016,info@mackillop.cangoul.catholic.edu.au,,,https://www.mackillop.act.edu.au/,(02) 6209 0100,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,27
685863.8581,6098410.2994,No,Other,No,22,4,12 Stutchbury Street,Page,ACT,2614,,ACTmapi,120,St Matthew's Primary School,55610220004,admin@stmattps.cg.catholic.edu.au,,,http://www.stmattsps.act.edu.au/,(02) 6254 2653,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,28
692003.1238,6100168.3,No,Primary,No,60,2,2 Tyrrell Circuit,Kaleen,ACT,2617,,ACTmapi,121,St Michael's Primary School,55530600002,admin@stmichaelsps.cg.catholic.edu.au,,,https://www.stmichaelsps.act.edu.au/,(02) 6241 4022,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,29
687648.9772,6101377.4064,No,Other,No,86,1,"5 Moynihan Street, 23 Montagu Place",Evatt,ACT,2617,,ACTmapi,122,St Monica's Primary School,55740860001,office@stmonicas.cg.catholic.edu.au,,,http://www.stmonicas.act.edu.au/,(02) 6258 5105,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,30
684855.4842,6102319.0999,No,Other,No,97,14,25 Lhotsky Street,Charnwood,ACT,2615,,ACTmapi,123,St Thomas Aquinas Primary School,55700970014,admin@staquinas.cg.catholic.edu.au,,,http://www.staquinas.act.edu.au/,(02) 6258 4077,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,31
696050.5683,6092975.0469,No,Primary,No,29,1,24 White Crescent,Campbell,ACT,2612,,ACTmapi,124,St Thomas More's Primary School,11100290001,info@stthomasmores.cg.catholic.edu.au,,,https://www.stmore.act.edu.au/,(02) 6249 8869,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,32
696774.2276,6097041.1565,No,Primary,No,12,11,114 Maitland Street,Hackett,ACT,2602,,ACTmapi,85,Blue Gum Community School,11260120011,bluenet@tpg.com.au,,,http://bluegum.act.edu.au/,(02) 6230 6776,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,33
693630.3531,6097238.1176,No,Other,No,41,4,136 Brigalow Street,Lyneham,ACT,2602,,ACTmapi,86,Brindabella Christian College Lyneham Campus ,11010410004,bcc@bcc.act.edu.au,,,http://www.bcc.act.edu.au/lyneham,(02) 6247 4644,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,34
693314.2407,6104014.1921,No,Other,No,20,1,4 The Valley Avenue,Gungahlin,ACT,2914,,ACTmapi,87,Burgmann Anglican School Valley Campus,77100200001,admin@burgmann.act.edu.au,,,https://www.burgmann.act.edu.au/,(02) 6255 7700,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,35
690626.6575,6085396.1725,No,Other,No,17,2,64 Ainsworth Street,Mawson,ACT,2607,,ACTmapi,88,Canberra Christian School,33330170002,the.principal@ccs.act.edu.au,,,https://www.ccs.act.edu.au/,(02) 6286 3989,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,36
692311.6101,6089770.7922,No,Other,No,9,2,"48 Melbourne Avenue, 2 Gawler Crescent",Deakin,ACT,2600,,ACTmapi,89,Canberra Girls Grammar School,12150090002,enrolments@cggs.act.edu.au,,,http://www.cggs.act.edu.au/,(02) 6202 6400,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,37
693356.9837,6088159.6004,No,Other,No,6,1,40 Monaro Crescent,Red Hill,ACT,2603,,ACTmapi,90,Canberra Grammar School,12210060001,Canberra.grammar@cgs.act.edu.au,,,https://cgs.act.edu.au/,(02) 6260 9700,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,38
686381.3777,6088208.745,No,Other,No,45,20,35 Mulley Street,Holder,ACT,2611,,ACTmapi,91,Canberra Montessori School ,44470450020,admin@CanberraMontessori.com,,,https://cms.act.edu.au/,(02) 6287 1962,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,39
689672.5025,6076130.2365,No,Other,No,476,1,1 Woodcock Drive,Gordon,ACT,2906,,ACTmapi,92,Covenant Christian School,66164760001,admin@covenant.act.edu.au,,,http://www.covenant.act.edu.au/,(02) 6294 2455,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,40
694567.227,6096774.9863,No,Other,No,34,1,121 Cowper Street,Dickson,ACT,2602,,ACTmapi,93,Daramalan College,11020340001,admin@daramalanc.act.edu.au,,,http://www.daramalan.act.edu.au/,(02) 6245 6300,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,41
694965.0309,6096738.7694,No,Other,No,17,4,73 Davenport Street,Dickson,ACT,2602,,ACTmapi,94,Emmaus Christian School,11020170004,emmaus@emmaus.act.edu.au,,,https://www.emmaus.act.edu.au/,(02) 6247 7151,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,42
684450.5859,6082203.1168,No,High,No,,1593,244 Kambah Pool Road,Kambah,ACT,2902,,ACTmapi,95,Communities@Work Galilee School Kambah Campus,60000001593,pghobbs@tpg.com.au,,,https://commsatwork.org/services/community/g,(02) 6293 6500,https://myschool.edu.au/,7-10,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,43
693588.9618,6106559.1668,No,Other,No,93,2,"93,99 Burdekin Avenue",Amaroo,ACT,2914,,ACTmapi,96,Good Shepherd Primary School,77070930002,office.goodshepherd@cg.catholic.edu.au,,,http://www.goodshepherd.act.edu.au/,(02) 6255 7888,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,44
692137.0587,6079353.1678,No,Primary,No,280,6,"14 Castleton Crescent, 1 Jeffries Street",Gowrie,ACT,2904,,ACTmapi,97,Holy Family Parish Primary School,66042800006,office@hfpps.cg.catholic.edu.au,,,http://www.holyfamily.act.edu.au/,(02) 6292 1222,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,45
684863.0351,6102553.632,No,Other,No,94,3,46 Lhotsky Street,Charnwood,ACT,2615,,ACTmapi,141,Brindabella Christian College Charwood Campus ,55700940003,bcc@bcc.act.edu.au,,,http://www.bcc.act.edu.au/charnwood,(02) 6258 0377,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,46
695146.3898,6105899.3027,No,Other,No,23,1,31 Francis Forde Boulevarde,Forde,ACT,2914,,ACTmapi,142,Burgmann Anglican School Forde Campus,77160230001,admin@burgmann.act.edu.au,,,https://www.burgmann.act.edu.au/,(02) 6204 3299,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,47
691884.0961,6090280.8259,No,Other,No,49,15,24 Grey Street,Deakin,ACT,2600,,ACTmapi,143,Canberra Girls Grammar Junior School,12150490015,jsoffice@cggs.act.edu.au,,,http://www.cggs.act.edu.au/,(02) 62026411,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,48
693117.9542,6088048.1043,No,Other,No,6,2,"15 Alexander Street, 18 Golden Grove",Red Hill,ACT,2603,,ACTmapi,144,Canberra Grammar Junior School,12210060002,Canberra.grammar@cgs.act.edu.au,,,https://cgs.act.edu.au/,(02) 6260 9600,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,49
695233.7808,6093198.875,No,Other,No,3,20,"33 Blamey Crescent, 69 Creswell Street",Campbell,ACT,2612,,ACTmapi,145,Canberra Grammar School - Northside ECS,11100030020,northside@cgs.act.edu.au,,,https://cgs.act.edu.au/,(02) 6247 7707,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,50
696029.5219,6103227.2221,No,Other,No,2,16,40 Wimmerra Street,Harrison,ACT,2914,,ACTmapi,146,Mother Teresa School,77110020016,office@motherteresa.act.edu.au,,,http://www.motherteresa.act.edu.au/,(02)6241 5604,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,51
691326.9118,6105274.3293,No,Other,No,78,12,1021 Gungahlin Drive,NICHOLLS,ACT,2913,,ACTmapi,147,St John Paul II College,77080780012,office.jpc@cg.catholic.edu.au,,,https://www.jpc.act.edu.au/,(02) 6163 4800,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,52
689821.1983,6079958.6744,No,Other,No,125,8,12 Mackinnon Street,Wanniassa,ACT,2905,,ACTmapi,148,St Mary Mackillop College - Junior Campus,66021250008,info@mackillop.cangoul.catholic.edu.au,,,https://www.mackillop.act.edu.au/,(02) 6209 0100,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,53
686290.8978,6088496.3062,No,Other,No,45,25,172 Dixon Drive,Holder,ACT,2611,,ACTmapi,150,Communities@Work Galilee School Holder Campus,44470450025 ,pghobbs@tpg.com.au,,,https://commsatwork.org/services/community/g,(02) 6293 6500,https://myschool.edu.au/,Other,,ACTIVE,54
